Name,Quantity,Supplier Part,Price,Link
10uF,7,C19702,$0 (Have at home),https://item.szlcsc.com/362304.html
NSR0320MW2T1G,1,C48192,$0 (Have at home),https://item.szlcsc.com/295156.html
SL2.1A,1,C192893,$0 (Have at home),https://item.szlcsc.com/391677.html
U-G-04DD-W-01,1,C98125,$0 (Have at home),https://item.szlcsc.com/203308.html
USB-AF-90-14.4X13.6-H7.0-DIP,4,C46407,$0 (Have at home),https://item.szlcsc.com/47411.html
XL-502UWC,1,C2895480,$0 (Have at home),https://atta.szlcsc.com/upload/public/pdf/source/20200608/C575514_481805297FA19E87E029DBBC3944682B.pdf
Custom PCB ,1,N/A,$2.10,https://cart.jlcpcb.com/shopcart/cart
Taxes & Payment Fee,1,,$0.86,
Shipping,1,,$3.12,
Total Price,,,$6.08,